ID_Explotacion,Provincia,Actividad,Superficie_Hectareas,Edad_Productor,Nivel_Tecnificacion,Produccion_Toneladas,Costo_Produccion,Precio_Venta_Tonelada,Ingresos,Cantidad_Empleados,Uso_Riego,Rentabilidad_Porcentaje,Indice_Sustentabilidad
919,Buenos Aires,Ganaderia,"286,5",46,Medio,"349,4",144574,378,132073,9,Sí,"-9,9","84,2"
920,Chaco,Trigo,"259,8",66,Bajo,"377,9",70098,646,244123,8,Sí,"246,3",74
921,La Pampa,Lecheria,5,44,Bajo,10,2324,407,4070,2,No,"74,9","39,2"
922,Entre Ríos,Ganaderia,"153,8",58,Bajo,"210,1",38174,499,104839,1,No,"173,9","35,1"
923,Santa Fe,Maiz,"236,6",31,Medio,"419,7",139522,779,326946,5,Sí,"135,7","64,9"
924,Chaco,Trigo,"458,9",60,Medio,"753,8",154589,742,559319,8,Sí,"259,3","56,7"
925,Chaco,Ganaderia,"35,4",39,Medio,"48,1",20110,407,19576,0,No,"0,9","50,3"
926,Salta,Soja,"317,6",43,Medio,379,95516,487,184573,6,Sí,"95,4","55,6"
927,Buenos Aires,Ganaderia,"113,2",81,Bajo,"109,5",45617,394,43143,2,No,"-8,3","61,6"
928,Córdoba,Maiz,5,56,Bajo,10,2149,552,5520,0,Sí,159,55
929,Santa Fe,Lecheria,"351,7",52,Medio,"666,2",261684,638,425035,12,Sí,"66,9",84
930,Salta,Lecheria,"124,3",35,Medio,"179,1",57248,490,87759,0,No,"54,5","70,4"
931,Mendoza,Lecheria,"239,7",55,Bajo,"288,4",103855,681,196400,2,Sí,"88,8","61,5"
932,Buenos Aires,Fruticultura,"132,3",55,Medio,"149,1",31504,615,91696,0,No,"195,2","60,2"
933,La Pampa,Trigo,"147,5",57,Medio,"231,1",54262,254,58699,-3,No,"12,8","43,5"
934,La Pampa,Soja,291,36,Medio,"268,1",62560,703,188474,2,Sí,"205,2","52,1"
935,Córdoba,Soja,"214,5",39,Medio,"213,3",83710,701,149523,6,Sí,"78,5",59
936,Córdoba,Ganaderia,"378,5",48,Alto,"616,9",91331,421,259714,9,Sí,"187,9","85,4"
937,La Pampa,Soja,"319,1",31,Medio,"324,1",84656,701,227194,8,No,"168,9","44,9"
938,Buenos Aires,Maiz,"227,8",28,Medio,"181,7",57524,288,52329,4,No,"-12,6","41,6"
939,Salta,Maiz,361,57,Alto,"683,4",238334,390,266526,7,Sí,"12,6","67,4"
940,Salta,Lecheria,191,39,Bajo,"223,3",57367,738,164795,0,No,"187,8","63,6"
941,Salta,Maiz,"179,8",43,Bajo,"232,4",91490,310,72044,7,Sí,"-23,1",82
942,Entre Ríos,Fruticultura,"121,8",23,Alto,297,44819,582,172854,5,Sí,"285,7","85,1"
943,Salta,Trigo,"165,9",58,Bajo,"230,4",81699,599,138009,2,Sí,"68,4","59,8"
944,Córdoba,Ganaderia,"390,6",40,Bajo,"355,3",58739,766,272159,8,No,"368,2","62,3"
945,Chaco,Lecheria,99,40,Medio,"117,6",23064,569,66914,1,No,190,"42,7"
946,Chaco,Ganaderia,"316,3",81,Medio,"542,9",170353,523,283936,4,No,"70,6","36,5"
947,Córdoba,Lecheria,"174,3",36,Bajo,"130,2",16647,796,103639,3,Sí,"517,7","74,8"
948,Salta,Trigo,"88,6",64,Medio,,53155,755,120347,0,No,"130,9","48,1"
949,Córdoba,Lecheria,"316,7",61,Bajo,"377,1",130025,772,291121,8,No,"122,5","55,9"
950,Chaco,Ganaderia,199,18,Alto,"392,6",54148,407,159788,3,Sí,"190,5","96,7"
951,Salta,Lecheria,"259,6",51,Alto,"482,5",66567,310,149575,4,No,"126,4","74,7"
952,Santa Fe,Fruticultura,"258,8",56,Medio,"324,9",125694,767,249198,11,No,"98,5","66,3"
953,Entre Ríos,Ganaderia,"129,5",52,Medio,"241,5",44328,626,151179,6,Sí,"237,1","66,2"
954,Santa Fe,Lecheria,"251,6",55,Bajo,"256,9",45175,267,68592,0,Sí,"56,1","54,9"
955,Córdoba,Maiz,"129,2",57,Alto,"277,3",83778,361,100105,0,No,"20,6","81,1"
956,Entre Ríos,Trigo,"62,9",50,Medio,,26508,555,53668,-3,No,"97,5",36
957,Santa Fe,Maiz,"7,8",45,Medio,"14,1",3892,503,7092,3,Sí,"86,4","68,5"
958,Entre Ríos,Ganaderia,"263,4",24,Alto,"514,6",133779,290,149234,12,No,"12,3","47,2"
959,Salta,Lecheria,"178,6",19,Alto,"421,3",98425,415,174839,7,Sí,"76,4","72,7"
960,Córdoba,Trigo,"253,9",36,Bajo,"345,8",63114,624,215779,4,Sí,"239,7","80,3"
961,Chaco,Ganaderia,"295,3",54,Medio,"528,2",118450,446,235577,6,Sí,102,81
962,Mendoza,Lecheria,"353,4",47,Medio,"447,5",64658,679,303852,7,No,"368,9","62,9"
963,Santa Fe,Ganaderia,"83,9",57,Medio,"102,3",30730,717,73349,0,No,"136,2","64,6"
964,Mendoza,Fruticultura,"316,2",45,Medio,"609,8",78970,617,376246,7,Sí,"376,9","60,7"
965,Buenos Aires,Fruticultura,5,29,Alto,,2417,326,3260,4,Sí,"36,8","89,1"
966,Salta,Fruticultura,"422,2",60,Medio,"608,8",253718,567,345189,7,Sí,"34,5","59,5"
967,Mendoza,Fruticultura,"406,9",65,Bajo,"560,3",112783,536,300320,6,Sí,"167,4","80,1"
968,Chaco,Maiz,"149,6",54,Medio,"152,4",56010,659,100431,3,No,"77,5","65,8"
969,Chaco,Maiz,"281,8",26,Medio,"227,2",93988,394,89516,4,Sí,"-1,3","61,9"
970,Salta,Trigo,"465,9",55,Bajo,"480,3",128859,297,142649,12,No,"8,6","54,6"
971,Salta,Trigo,"216,9",39,Medio,340,59557,754,256360,3,No,"334,7","51,9"
972,Salta,Trigo,"322,1",49,Alto,"689,5",273618,479,330270,9,Sí,"18,4","79,8"
973,Córdoba,Maiz,"161,4",59,Medio,166,34114,471,78186,0,Sí,"126,9","73,5"
974,Mendoza,Ganaderia,"81,6",37,Medio,"152,6",54455,513,78283,3,Sí,"38,8","68,1"
975,Mendoza,Fruticultura,"186,1",48,Alto,"436,5",83572,305,133132,4,Sí,"54,9",83
976,Chaco,Trigo,"364,3",39,Alto,"618,3",234716,656,405604,11,No,"75,9","77,4"
977,Mendoza,Soja,"236,6",35,Medio,"354,5",106352,781,276864,5,Sí,"163,4","58,6"
978,Córdoba,Trigo,"242,2",38,Medio,"319,9",45889,415,132758,6,Sí,"188,1","64,5"
979,La Pampa,Lecheria,"236,9",67,Bajo,"280,1",111004,295,82629,8,No,"-26,3",47
980,Córdoba,Ganaderia,"265,6",31,Bajo,"359,1",67602,774,277943,7,No,"307,9","68,8"
981,Chaco,Trigo,"159,6",50,Alto,"267,9",46761,458,122698,2,No,"161,2","57,2"
982,La Pampa,Ganaderia,"145,7",32,Alto,"341,3",78019,337,115018,8,Sí,45,"60,3"
983,Mendoza,soja,"222,9",60,Medio,"325,1",133379,383,124513,7,Sí,"-9,2","85,2"
984,Córdoba,Trigo,"267,2",50,Medio,"331,9",93447,518,171924,3,Sí,"80,5","76,9"
985,Entre Ríos,Ganaderia,"276,8",36,Alto,"691,7",226874,488,337549,10,Sí,"44,2","99,3"
986,Chaco,Soja,"213,3",45,Medio,256,82733,328,83968,9,No,"-1,9","64,8"
987,Salta,Maiz,"208,2",37,Alto,"485,9",170995,770,374143,1,No,118,"66,6"
988,Chaco,Soja,196,48,Alto,"236,8",71388,764,180915,8,Sí,"149,3","95,6"
989,Mendoza,Maiz,"154,8",46,Alto,"209,6",73944,377,79019,11,No,"2,4","63,7"
990,Mendoza,Trigo,"292,8",47,Alto,421,121562,261,109881,0,Sí,"-10,3","87,4"
991,Mendoza,Soja,"263,4",50,Alto,"348,8",58063,329,114755,8,No,"93,7","66,3"
992,Mendoza,Trigo,"82,1",36,Alto,"199,6",60427,591,117963,1,No,"97,4","80,7"
993,Mendoza,Ganaderia,"76,3",42,Bajo,"76,9",29446,508,39065,6,Sí,"30,7","86,1"
994,Entre Ríos,Maiz,"344,9",40,Bajo,"429,8",68402,708,304298,6,No,342,"71,4"
995,Chaco,Lecheria,"220,8",50,Medio,"238,1",29215,508,120954,9,No,"315,8","54,1"
996,Mendoza,Lecheria,"315,1",64,Medio,"393,7",125973,635,249999,6,No,96,"67,2"
997,Chaco,Maiz,"216,9",76,Medio,"216,1",83486,327,70664,3,Sí,"-18,4",85
998,Salta,Soja,"214,8",32,Medio,"323,4",49040,499,161376,10,Sí,"233,7","56,1"
999,Córdoba,Ganaderia,"387,3",31,Medio,"707,5",147531,298,210835,12,No,"46,5","71,5"
1000,Entre Ríos,Maiz,324,43,Medio,"462,4",56040,741,342638,10,Sí,"510,2","62,6"
1001,La Pampa,Trigo,"171,4",48,Medio,"234,2",36621,528,123657,2,No,"234,6","42,4"
1002,La Pampa,Lecheria,"235,8",60,Medio,"210,7",54136,297,62577,1,Sí,"18,9","51,2"
1003,Chaco,Soja,"161,7",62,Bajo,,26644,355,52043,1,No,97,"73,9"
1004,Entre Ríos,Fruticultura,"203,1",64,Medio,"376,1",126644,279,104931,1,Sí,"-12,3","62,1"
1005,Entre Ríos,Trigo,"83,9",49,Bajo,"54,3",19707,476,25846,0,No,"30,4",68
1006,La Pampa,Soja,"159,1",49,Medio,"298,8",113632,377,112647,6,No,"0,1","45,1"
1007,Santa Fe,Fruticultura,"349,9",61,Alto,"394,9",122520,667,263398,7,No,"113,2","84,4"
1008,La Pampa,Maiz,"192,4",61,Medio,"352,5",44105,779,274597,4,Sí,"518,3","50,1"
1009,Santa Fe,Soja,"203,5",51,Bajo,,55981,480,75072,5,Sí,"36,9",86
1010,La Pampa,Fruticultura,5,50,Bajo,10,3518,477,4770,0,Sí,"30,9","55,6"
1011,Buenos Aires,Ganaderia,5,33,Bajo,10,2860,644,6440,0,Sí,"121,8","89,8"
1012,Santa Fe,Maiz,5,47,Medio,10,3620,449,4490,3,Sí,"19,4","87,2"
1013,Salta,Maiz,"182,7",38,Medio,"290,9",104327,572,166394,4,sí,"58,4","80,9"
1014,Entre Ríos,Fruticultura,"98,6",60,Bajo,137,22970,409,56033,2,No,"146,3","38,4"
1015,Chaco,Soja,"162,2",43,Alto,"382,9",152711,463,177282,0,Sí,"18,8","92,2"
1016,Córdoba,Fruticultura,"160,7",27,Bajo,"112,6",22221,653,73527,1,No,"227,3","45,2"
1017,Córdoba,Ganaderia,"108,1",67,Alto,"238,4",80630,535,127544,0,Sí,"61,1","91,7"
1018,Santa Fe,Fruticultura,"482,3",45,Medio,"510,8",201249,306,156304,13,Sí,-18,83
1019,Buenos Aires,Fruticultura,"408,9",78,Bajo,"527,9",128189,317,167344,7,Sí,"34,1","63,6"
1020,Santa Fe,Trigo,"261,8",47,Bajo,"157,4",35819,287,45173,5,Sí,"25,3","88,7"
1021,Salta,Trigo,"294,9",52,Alto,"691,8",86502,680,470423,13,No,"438,9","76,2"
1022,Buenos Aires,Fruticultura,"338,2",44,Bajo,"331,3",50000000,727,240855,8,Sí,"70,8","68,3"
1023,La Pampa,Trigo,"150,3",52,Bajo,"121,9",26001,788,96057,4,No,"265,5","40,8"
1024,La Pampa,Soja,"168,4",43,Alto,"425,4",83088,501,213125,3,No,"157,6",82
1025,La Pampa,Soja,5,57,Alto,10,3533,721,7210,0,No,"106,2","63,7"
1026,Buenos Aires,Maiz,"217,1",50,Bajo,"237,2",62136,654,155128,6,No,"145,8","61,3"
1027,Chaco,Trigo,"249,7",58,Alto,"422,4",100956,268,113203,6,Sí,"13,7","73,7"
1028,Córdoba,Ganaderia,"269,1",46,Medio,"452,2",148853,454,205298,7,No,"41,7","40,7"
1029,Salta,Trigo,"176,8",61,Bajo,"108,1",16194,637,68859,3,Sí,"323,4","51,7"
1030,Córdoba,Ganaderia,"172,1",30,Bajo,256,48243,691,176896,4,No,"271,3","65,9"
1031,Buenos Aires,Ganaderia,"94,2",48,Alto,"142,7",28798,619,88331,3,Sí,"204,5",77
1032,Santa Fe,Maiz ,5,35,Bajo,10,1576,716,7160,0,Sí,"356,2","57,4"
1033,Entre Ríos,Ganaderia,"261,1",69,Medio,"496,3",171825,392,194549,5,Sí,"10,9",58
1034,Buenos Aires,Soja,"82,2",55,Alto,"202,6",60575,680,137768,5,Sí,"129,7","65,2"
1035,Buenos Aires,Lecheria,"173,7",69,Medio,"181,4",36357,584,105937,1,Sí,"189,8",76
1036,La Pampa,Trigo,"151,5",46,Bajo,"192,8",80875,633,122042,6,No,"48,5","57,6"
1037,Buenos Aires,Ganaderia,"100,8",70,Medio,"80,1",30574,362,28996,2,Sí,"-0,5","55,1"
1038,Santa Fe,Soja,"157,7",57,Bajo,"199,3",56420,596,118782,0,No,"108,6",57
1039,Santa Fe,Soja,"227,1",55,Alto,376,56886,703,264328,6,Sí,450,"72,7"
1040,La Pampa,Ganaderia,5,48,Medio,10,2835,479,4790,0,No,"65,6",58
1041,Salta,Fruticultura,"112,2",50,Medio,"89,1",23445,631,56222,10,Sí,"135,6","89,5"
1042,Chaco,Ganaderia,253,35,Alto,"318,4",68177,291,92654,6,Sí,"34,2","67,6"
1043,Buenos Aires,Fruticultura,58,58,Alto,"61,1",24203,565,34521,0,Sí,"38,5","68,9"
1044,Córdoba,Maiz,"391,9",48,Bajo,"333,7",121251,395,131811,4,No,"5,1","67,9"
1045,Salta,Trigo,"317,9",54,Bajo,"242,1",44240,514,124439,5,No,"184,8","47,5"
1046,Salta,Fruticultura,"168,1",22,Bajo,"137,3",45429,607,83341,2,No,"88,2","45,1"
1047,Buenos Aires,Trigo,"407,4",58,Medio,"375,1",126854,738,276823,3,Sí,"113,8","84,2"
1048,Entre Ríos,Ganaderia,5,52,Medio,10,3171,285,2850,0,Sí,"-10,1","57,2"
1049,Entre Ríos,Lecheria,"161,6",26,Bajo,"156,4",33128,673,105257,10,Sí,"217,9",140
1050,Córdoba,Maiz,"429,8",45,Bajo,50,152017,691,5000000,6,Sí,300,"50,9"
1051,Buenos Aires,Fruticultura,"82,9",60,Bajo,"49,8",20848,282,14043,0,No,"-30,3","62,1"
1052,Córdoba,Lecheria,"120,2",38,Alto,,48198,364,74510,1,No,"52,4","49,1"
1053,Salta,Ganaderia,"173,9",51,Alto,"219,6",60297,505,110898,5,No,"81,2","51,4"
1054,Salta,Trigo,"183,4",38,Alto,"197,5",29234,301,59447,1,Sí,"101,8",61
1055,La Pampa,Lecheria,"317,9",43,Bajo,"421,6",55581,512,215859,8,Sí,"288,3","81,2"
1056,Buenos Aires,Lecheria,"197,9",50,Medio,"292,1",86382,308,89966,7,Sí,"4,7","62,4"
1057,Santa Fe,Fruticultura,"134,1",32,Medio,"228,5",86405,507,115849,10,No,"35,8","50,2"
1058,Córdoba,Soja,"80,8",40,Medio,"113,9",25321,770,87703,7,No,"244,9","36,2"
1059,La Pampa,Ganaderia,153,52,Bajo,107,22128,626,66982,-3,Sí,"201,1","56,5"
1060,Chaco,Ganaderia,"164,3",66,Medio,"306,3",95369,266,81475,4,No,"-11,3","70,9"
1061,Córdoba,Fruticultura,"287,5",64,Bajo,"352,9",125166,573,202211,10,Sí,"65,8","56,6"
1062,Mendoza,Maiz,"175,8",23,Bajo,"157,7",26163,349,55037,4,No,"109,3","60,3"
1063,La Pampa,Fruticultura,"236,5",34,Bajo,201,78998,273,54873,4,No,"-33,1","61,9"
1064,Chaco,Ganaderia,"127,6",67,Alto,"188,3",55317,310,58373,0,Sí,"2,7","98,3"
1065,Chaco,Soja,5,67,Medio,10,3453,402,4020,0,NO,"19,4","89,3"
1066,Salta,Lecheria,"239,2",68,Medio,"444,1",171818,608,270012,3,Sí,"56,3","88,7"
1067,La Pampa,Trigo,"43,4",41,Medio,40,5017,313,12520,1,Sí,"151,4",85
1068,Mendoza,Lecheria,"361,6",55,Medio,"563,4",116357,689,388182,10,No,"238,6","65,6"
1069,Mendoza,Lecheria,"226,5",49,Bajo,248,92728,624,154752,3,No,62,"61,4"
1070,Entre Ríos,Soja,"313,7",59,Medio,"600,5",246469,655,393327,10,Sí,"56,5","87,2"
1071,Córdoba,Maiz,"111,1",42,Medio,"97,1",21934,312,30295,0,Sí,"41,2","67,8"
1072,Mendoza,Ganaderia,"455,8",30,Alto,"592,2",143198,430,254646,16,Sí,"80,5",75
1073,Entre Ríos,Fruticultura,"319,8",57,Alto,"719,7",133337,344,247576,8,Sí,"81,3","78,8"
1074,Entre Ríos,Lecheria,"181,8",47,Medio,"204,1",55555,324,66128,8,Sí,16,"51,2"
1075,Santa Fe,Soja,"299,4",53,Medio,454,64251,690,313260,7,No,"389,7","66,6"
1076,Salta,Ganaderia,135,45,Bajo,,34174,326,42836,8,No,"21,5","38,4"
1077,Buenos Aires,Lecheria,"157,1",47,Bajo,"103,9",20413,568,59015,6,Sí,"186,8","82,6"
1078,Santa Fe,Soja,"225,8",62,Medio,237,39164,356,84372,8,No,"115,3","35,5"
1079,Buenos Aires,Soja,"350,2",52,Alto,"484,8",188328,355,172104,5,No,"-9,2","84,7"
1080,Mendoza,Trigo,"98,2",69,Medio,"116,1",21566,551,63971,4,Sí,"193,7","85,4"
1081,Córdoba,Lecheria,"188,2",38,Alto,"328,1",58448,541,177502,5,Sí,"207,3","60,8"
1082,Córdoba,Fruticultura,"287,3",36,Medio,"466,2",68975,639,297901,9,Sí,"329,5","51,1"
1083,La Pampa,Maiz,"315,3",30,Alto,"351,2",142034,376,132051,4,Sí,"-8,5","92,5"
1084,Mendoza,Fruticultura,"372,6",28,Bajo,"446,8",171314,453,202400,13,Sí,"16,2","78,3"
1085,Córdoba,Soja,5,71,Medio,10,1662,258,2580,0,No,"52,9","63,6"
1086,Entre Ríos,Maiz,"142,2",50,Medio,"164,7",45220,694,114301,0,sí,153,"74,9"
1087,Salta,Soja,"214,1",29,Medio,"297,1",121308,719,213614,7,Sí,"80,3",82
1088,Entre Ríos,Maiz,"333,5",48,Medio,"517,9",64135,510,264129,5,Sí,"313,8","53,9"
1089,Entre Ríos,Ganaderia,"139,8",60,Bajo,"106,4",37386,291,30962,6,No,"-21,1","48,4"
1090,Buenos Aires,Lecheria,"212,1",62,Bajo,"243,6",84782,535,130326,0,Sí,"51,5","84,8"
1091,Chaco,Soja,90,58,Medio,"169,5",67640,778,131871,5,No,"98,2","74,2"
1092,Córdoba,Lecheria,199,54,Medio,,52825,631,229557,3,No,"338,9","41,9"
1093,Santa Fe,Lecheria,"285,3",44,Bajo,"226,3",87546,359,81241,10,No,-3,"38,2"
1094,Buenos Aires,Maiz,"196,8",45,Medio,"342,3",87390,425,145477,2,Sí,"70,9","63,7"
1095,Entre Ríos,Fruticultura,48,37,Alto,"50,7",17451,588,29811,4,Sí,"74,5","91,1"
1096,Santa Fe,Fruticultura,"215,3",52,Alto,"334,5",51251,780,260910,9,No,"408,7","75,7"
1097,Salta,Ganaderia,"206,5",63,Alto,"464,9",177596,349,162250,6,Sí,"-7,9",65
1098,Chaco,Fruticultura,5,61,Alto,10,1872,434,4340,2,No,"135,2","49,2"
1099,La Pampa,Lecheria,-5,44,Medio,16,2033,373,5968,3,No,"194,4",74
1100,Buenos Aires,Lecheria,302,45,Bajo,"374,9",108949,710,266179,11,No,145,"47,7"
1101,Buenos Aires,Maiz,"333,6",56,Alto,"457,4",61550,519,237390,10,Sí,"289,3","75,2"
1102,Entre Ríos,Ganaderia,"166,2",85,Bajo,"131,3",26535,408,53570,4,Sí,"101,9","50,6"
1103,Buenos Aires,Lecheria,97,45,Bajo,127,33899,641,81407,3,No,"142,9","38,5"
1104,Córdoba,Soja,"206,6",53,Alto,"405,7",159316,649,263299,6,Sí,"64,9",62
1105,Buenos Aires,Trigo,"256,4",58,Medio,"336,4",63269,608,204531,2,No,"218,8",63
1106,Córdoba,Ganaderia,"397,6",64,Alto,"958,7",398294,741,710396,10,Sí,"74,1","77,4"
1107,Santa Fe,Lecheria,"85,1",57,Medio,"75,7",18080,307,23239,0,No,"33,4","61,1"
1108,Buenos Aires,Lecheria,"43,5",36,Medio,"54,9",6887,663,36398,1,No,"427,9","49,7"
1109,Mendoza,Fruticultura,"308,3",42,Bajo,"291,2",55658,488,142105,6,no,"159,3","38,2"
1110,Salta,Ganaderia,"43,1",50,Alto,"63,2",14260,434,27428,0,No,"90,6","78,7"
1111,La Pampa,Soja,"368,7",56,Medio,"520,9",153618,286,148977,8,Sí,"0,2","87,3"
1112,Córdoba,Maiz,"95,7",65,Bajo,"64,7",9897,423,27368,2,No,"172,1",71
1113,Entre Ríos,Trigo,"166,6",37,Medio,"318,5",56789,630,200655,4,Sí,"256,5","63,8"
1114,Córdoba,Soja,"194,4",56,Medio,"251,8",81197,472,118849,4,No,"43,1","70,1"
1115,Córdoba,Maiz,"123,7",22,Medio,"216,8",31308,330,71544,7,Sí,"132,7","67,6"
1116,Buenos Aires,Maiz,"47,3",84,Alto,"95,6",20917,709,67780,4,No,"221,3","84,6"
1117,Córdoba,Trigo,"376,4",43,Alto,"596,5",115048,695,414567,13,Sí,"258,3","85,2"
1118,Santa Fe,Ganaderia,"164,3",36,Alto,"392,3",156405,644,252641,4,Sí,"66,4","77,1"
1119,Santa Fe,Soja,"177,6",61,Bajo,"160,4",58950,259,41543,8,No,"-29,5","57,4"
1120,Salta,Soja,"435,5",36,Alto,"786,5",230795,772,607178,13,No,"159,5","57,8"
1121,Córdoba,Maiz,"318,7",41,Medio,"608,7",170684,417,253827,7,Sí,"52,9","65,7"
1122,Mendoza,Fruticultura,"188,6",30,Alto,"343,9",89815,311,106952,6,Sí,"16,7","87,5"
1123,Chaco,Soja,186,66,Medio,325,128912,345,112125,5,No,"-15,7","59,5"
1124,Santa Fe,Trigo,"308,6",42,Medio,"249,5",67154,264,65868,13,No,"-2,3","45,9"
1125,La Pampa,Lecheria,"43,4",33,Alto,"108,1",19146,535,57833,1,No,199,"55,3"
1126,Salta,Fruticultura,349,54,Medio,"647,7",215709,484,313486,7,Sí,"40,7","84,9"
1127,Santa Fe,Soja,"122,4",61,Bajo,"173,9",25011,462,80341,1,No,"219,9","63,6"
1128,Buenos Aires,Maiz ,"377,6",59,Medio,"395,1",134338,473,186882,4,No,"43,3","60,8"
1129,Chaco,Maiz,"322,6",62,Medio,"340,4",128605,486,165434,10,Sí,"28,7","82,9"
1130,Salta,Lecheria,"394,3",79,Medio,"431,1",65283,284,122432,10,Sí,"92,3","74,7"
1131,Salta,Ganaderia,"342,4",56,Medio,550,171669,522,287100,5,Sí,"68,3","82,1"
1132,Santa Fe,Fruticultura,5,38,Alto,"10,2",2669,697,7109,0,No,"168,1","76,7"
1133,Mendoza,Fruticultura,"349,3",28,Bajo,"467,9",87564,544,254537,11,Sí,"193,7","70,9"
1134,Buenos Aires,soja,"134,8",39,Medio,"167,2",27404,740,123727,2,No,"353,9","73,9"
1135,Buenos Aires,Fruticultura,"120,5",46,Bajo,,36971,584,55363,0,No,"47,7","71,1"
1136,Mendoza,Ganaderia,"232,1",67,Bajo,"273,4",53577,660,180443,1,No,"232,2","40,5"
1137,Chaco,Ganaderia,"304,7",43,Alto,"747,7",144761,382,285621,14,Sí,"99,6",80
1138,Salta,Lecheria,"334,7",40,Alto,"435,7",164458,412,179508,10,No,6,"54,8"
1139,Chaco,Fruticultura,"356,4",59,Medio,"463,5",109474,510,236385,8,Sí,"117,4","87,2"
1140,Mendoza,Lecheria,"286,2",36,Alto,,150075,678,333304,7,Sí,125,"78,6"
1141,La Pampa,Fruticultura,"250,6",26,Alto,"379,2",151292,462,175190,5,No,"15,3","58,4"
1142,Santa Fe,Lecheria,"344,3",56,Medio,"437,6",135995,705,308508,6,Sí,"127,2",57
1143,Chaco,Soja,"179,2",49,Medio,260,44140,720,187200,6,No,"324,7","55,6"
1144,Córdoba,Fruticultura,"221,5",65,Bajo,178,72240,543,96654,5,Sí,"34,8","68,7"
1145,Mendoza,ganaderia,"358,7",46,Alto,"567,6",217438,448,254284,7,Sí,"12,4","61,9"
1146,Córdoba,Lecheria,"241,4",53,Alto,"333,4",47524,454,151363,3,Sí,"221,7","73,1"
1147,Chaco,Fruticultura,"233,4",48,Bajo,310,92916,652,202120,5,Sí,"114,7","54,9"
1148,Mendoza,Ganaderia,5,62,Medio,,2269,615,6150,0,Sí,"175,1","82,6"
1149,Buenos Aires,Trigo,"371,6",62,Medio,"689,1",232177,582,401056,7,Sí,"74,4","67,8"
1150,Entre Ríos,Trigo,"79,5",66,Medio,"154,7",44408,296,45791,2,Sí,"3,5","88,4"
1151,Buenos Aires,Soja,"73,2",55,Alto,"139,9",41339,467,65333,1,No,"56,3","75,3"
1152,Entre Ríos,Fruticultura,"231,3",32,Medio,"404,9",74699,255,103249,0,No,"37,2","38,3"
1153,Buenos Aires,Fruticultura,"249,8",40,Alto,"313,6",60857,402,126067,6,No,"109,9","51,4"
1154,Entre Ríos,Ganaderia,25000,43,Medio,"366,4",52606,380,139232,7,No,"159,7","48,6"
1155,La Pampa,Lecheria,"165,2",52,Bajo,"245,2",45329,255,62526,4,Sí,"39,7","66,7"
1156,Chaco,Soja,"334,8",35,Bajo,"332,7",43841,780,259506,5,No,"489,8","44,7"
1157,La Pampa,Soja,"128,4",43,Alto,"223,8",93276,696,155764,3,Sí,"69,8","80,9"
1158,Santa Fe,Fruticultura,"342,2",55,Alto,"443,9",127042,683,303183,13,No,"136,1","75,6"
1159,Córdoba,Lecheria,"125,7",67,Alto,"197,4",59772,615,121401,9,No,"105,6","46,2"
1160,Córdoba,Ganaderia,"58,1",32,Alto,"82,6",10878,729,60215,1,No,"453,6","51,2"
1161,Salta,Soja,"477,7",70,Alto,"1114,5",184417,608,677616,16,No,"267,4","50,5"
1162,Chaco,Trigo,"333,8",34,Bajo,245,46084,257,62965,13,No,"40,4","62,6"
1163,La Pampa,Lecheria,"227,9",47,Medio,398,106712,693,275814,1,Sí,"159,4","59,1"
1164,Mendoza,Soja,"380,1",51,Medio,"447,8",106148,766,343014,5,Sí,"226,1","67,4"
1165,Entre Ríos,Ganaderia,"112,2",47,Bajo,,40625,404,41006,1,Sí,"3,8","61,4"
1166,Mendoza,Ganaderia,"418,7",52,Alto,"869,7",356550,752,654014,4,Sí,"80,1","68,7"
1167,Santa Fe,Maiz,"231,9",37,Medio,"324,7",109410,323,104878,6,No,"-3,5",74
1168,Entre Ríos,Maiz,"332,1",45,Medio,"452,2",126093,347,156913,8,Sí,"22,8",68
1169,Chaco,Soja,"168,9",52,Bajo,"120,1",25649,706,84790,1,No,"229,5","59,9"
1170,Córdoba,Trigo,"48,6",64,Alto,"80,7",15512,431,34781,1,No,"120,7","47,2"
1171,Córdoba,Lecheria,"203,4",56,Medio,"269,2",41024,382,102834,5,No,"153,7","43,7"
1172,Salta,Ganaderia,"22,8",48,Bajo,"30,5",11715,351,10705,0,Sí,-13,"75,2"
1173,Buenos Aires,Soja,"352,2",63,Alto,"491,9",91803,493,242506,10,Sí,"160,9","75,8"
1174,Entre Ríos,Maiz,"357,6",53,Medio,,215806,622,414874,3,No,"89,7","57,2"
1175,Córdoba,Fruticultura,124,47,Bajo,"131,7",51277,582,76649,10,No,"48,5","51,1"
1176,Buenos Aires,Fruticultura,518,55,Medio,"982,5",224010,637,625852,6,Sí,"182,2","70,5"
1177,La Pampa,Maiz,"117,9",64,Bajo,"105,1",14074,549,57699,0,No,"305,2","73,2"
1178,Santa Fe,Ganaderia,"362,9",64,Medio,"395,6",153605,349,138064,11,Sí,"-11,6","52,3"
1179,Santa Fe,Lecheria,"398,5",51,Medio,"465,7",106605,433,201648,6,Sí,"91,6","66,8"
1180,Buenos Aires,ganaderia,"284,8",47,Medio,389,103361,520,202280,9,No,"98,8","45,5"
1181,Entre Ríos,Maiz,350,62,Alto,,120587,459,277098,250,No,"130,2","78,2"
1182,Chaco,Soja,"307,3",49,Medio,"417,4",130160,653,272562,3,No,"112,9","66,2"
